abstract-deque,8, at Wed Feb  5 03:27:09 UTC 2014,43866 total (541 in the last 30 days)
abstract-deque-tests,0, at Wed Feb  5 05:15:29 UTC 2014,1293 total (42 in the last 30 days)
abstract-par,2, at Wed Nov  6 14:30:35 UTC 2013,38675 total (325 in the last 30 days)
accuerr,1, at Sat Jun 18 13:04:25 UTC 2016,1441 total (91 in the last 30 days)
ace,6, at Fri Nov 28 12:02:16 UTC 2014,5245 total (184 in the last 30 days)
action-permutations,1, at Fri Apr 11 19:12:15 UTC 2014,2504 total (99 in the last 30 days)
active,34, at Sun Oct 20 02:17:45 UTC 2019,45841 total (1444 in the last 30 days)
ad,81, at Mon Feb  3 12:52:08 UTC 2020,59256 total (2466 in the last 30 days)
adjunctions,58, at Sun Jan 28 14:51:42 UTC 2018,95732 total (2028 in the last 30 days)
adler32,2, at Thu Mar 15 00:03:14 UTC 2018,2003 total (162 in the last 30 days)
advent-of-code-api,19, at Wed Dec  4 23:24:49 UTC 2019,3466 total (718 in the last 30 days)
aeson,75, at Tue Nov 12 13:14:28 UTC 2019,439254 total (3961 in the last 30 days)
aeson-attoparsec,0, at Wed Nov 15 08:15:08 UTC 2017,704 total (39 in the last 30 days)
aeson-better-errors,12, at Mon Dec 12 14:56:02 UTC 2016,11683 total (400 in the last 30 days)
aeson-casing,7, at Thu Mar 28 15:33:25 UTC 2019,5011 total (308 in the last 30 days)
aeson-compat,12, at Mon Sep 24 11:58:04 UTC 2018,17829 total (529 in the last 30 days)
aeson-diff,11, at Sun Nov  3 22:41:48 UTC 2019,6451 total (460 in the last 30 days)
aeson-extra,14, at Mon Oct 21 13:08:29 UTC 2019,11264 total (479 in the last 30 days)
aeson-generic-compat,3, at Sat Aug 25 06:42:38 UTC 2018,1925 total (121 in the last 30 days)
aeson-iproute,3, at Mon Mar 19 11:53:17 UTC 2018,2050 total (106 in the last 30 days)
aeson-picker,5, at Sat Sep  7 19:54:05 UTC 2019,2123 total (285 in the last 30 days)
aeson-pretty,24, at Fri Sep 27 19:29:55 UTC 2019,74053 total (1135 in the last 30 days)
aeson-qq,12, at Wed Oct 30 02:21:54 UTC 2019,13505 total (435 in the last 30 days)
aeson-utils,6, at Mon May 25 21:23:54 UTC 2015,8130 total (241 in the last 30 days)
aeson-yak,6, at Wed Dec 20 04:54:32 UTC 2017,3637 total (175 in the last 30 days)
al,14, at Sat Mar 17 17:58:11 UTC 2018,8418 total (408 in the last 30 days)
alarmclock,25, at Mon Mar  2 18:14:09 UTC 2020,10502 total (650 in the last 30 days)
alerts,2, at Fri Jun 28 17:04:46 UTC 2019,1155 total (98 in the last 30 days)
alex,27, at Mon Nov  4 08:27:45 UTC 2019,120916 total (1635 in the last 30 days)
alg,21, at Tue Dec 24 15:57:43 UTC 2019,6597 total (739 in the last 30 days)
algebraic-graphs,11, at Sun Feb  2 23:48:46 UTC 2020,6487 total (543 in the last 30 days)
Allure,33, at Thu May  2 21:25:09 UTC 2019,17098 total (798 in the last 30 days)
almost-fix,3, at Fri Jul 24 15:33:22 UTC 2015,1542 total (64 in the last 30 days)
alsa-core,1, at Fri Apr 27 10:56:10 UTC 2012,7757 total (147 in the last 30 days)
alsa-mixer,7, at Sun Dec  9 19:57:43 UTC 2018,10428 total (405 in the last 30 days)
alsa-pcm,8, at Fri Aug 31 10:50:15 UTC 2018,5773 total (385 in the last 30 days)
alsa-seq,10, at Sat Nov 19 10:12:20 UTC 2016,7938 total (325 in the last 30 days)
alternative-vector,0, at Wed Oct 11 19:34:21 UTC 2017,774 total (26 in the last 30 days)
alternators,4, at Mon Jul  2 11:33:06 UTC 2018,1965 total (96 in the last 30 days)
ALUT,11, at Mon Jun 10 16:09:36 UTC 2019,11146 total (587 in the last 30 days)
amqp,49, at Tue Jan 14 12:48:23 UTC 2020,36656 total (1552 in the last 30 days)
annotated-wl-pprint,5, at Thu Aug 27 20:23:25 UTC 2015,33145 total (338 in the last 30 days)
ansi-terminal,37, at Sat Feb  8 20:30:48 UTC 2020,322683 total (2582 in the last 30 days)
ansi-wl-pprint,19, at Sun May 12 21:08:49 UTC 2019,213998 total (1340 in the last 30 days)
ANum,3, at Tue Feb 13 00:06:58 UTC 2018,2774 total (173 in the last 30 days)
aos-signature,1, at Sat Nov 10 08:17:15 UTC 2018,766 total (53 in the last 30 days)
apecs,38, at Tue Feb 18 12:41:21 UTC 2020,15562 total (2027 in the last 30 days)
apecs-gloss,6, at Tue Feb 11 16:16:23 UTC 2020,1650 total (309 in the last 30 days)
apecs-physics,8, at Tue Feb 11 16:16:15 UTC 2020,2219 total (407 in the last 30 days)
api-field-json-th,2, at Wed May  3 10:05:04 UTC 2017,1947 total (134 in the last 30 days)
appar,7, at Tue May  7 01:27:46 UTC 2019,39542 total (587 in the last 30 days)
appendmap,4, at Sun Sep  2 07:30:02 UTC 2018,1689 total (233 in the last 30 days)
apply-refact,8, at Sun Dec 29 20:47:03 UTC 2019,8269 total (576 in the last 30 days)
apportionment,3, at Fri Aug 31 10:55:39 UTC 2018,2243 total (164 in the last 30 days)
approximate,11, at Fri Sep 13 21:34:07 UTC 2019,7649 total (300 in the last 30 days)
app-settings,17, at Mon Oct  1 16:25:14 UTC 2018,9804 total (594 in the last 30 days)
arbor-lru-cache,1, at Thu Oct  3 05:45:33 UTC 2019,650 total (87 in the last 30 days)
arithmoi,30, at Sun Oct 20 18:20:26 UTC 2019,28730 total (1112 in the last 30 days)
array,13, at Sun Sep  1 06:48:42 UTC 2019,34420 total (621 in the last 30 days)
array-memoize,1, at Fri Apr  4 15:58:23 UTC 2014,1989 total (78 in the last 30 days)
arrow-extras,2, at Wed Mar 15 12:51:04 UTC 2017,1199 total (52 in the last 30 days)
asciidiagram,13, at Wed Jun 19 19:20:55 UTC 2019,6903 total (469 in the last 30 days)
ascii-progress,13, at Mon Apr 18 22:51:55 UTC 2016,10076 total (475 in the last 30 days)
asif,16, at Fri Jan 17 12:51:20 UTC 2020,4649 total (483 in the last 30 days)
asn1-encoding,11, at Sun Sep 29 19:07:14 UTC 2019,136325 total (857 in the last 30 days)
asn1-parse,7, at Sun Sep 29 19:07:25 UTC 2019,124946 total (709 in the last 30 days)
asn1-types,10, at Sun Jun 23 15:19:39 UTC 2019,150894 total (734 in the last 30 days)
assert-failure,4, at Fri Sep 15 20:14:17 UTC 2017,6865 total (208 in the last 30 days)
assoc,1, at Thu Nov  7 19:34:11 UTC 2019,1876 total (224 in the last 30 days)
astro,6, at Sun Jun 10 17:50:53 UTC 2018,3048 total (172 in the last 30 days)
async,18, at Thu Jun  6 08:27:35 UTC 2019,241260 total (1349 in the last 30 days)
async-extra,1, at Sun May 28 00:38:30 UTC 2017,1350 total (66 in the last 30 days)
async-refresh,3, at Tue Mar 20 21:54:23 UTC 2018,2039 total (101 in the last 30 days)
async-refresh-tokens,4, at Wed Mar 21 11:58:06 UTC 2018,2514 total (151 in the last 30 days)
